brand;model;generation_code;generation_name;starts_year;ends_year;commercial_name;trim_name;body_style;fuel_type;transmission;fiscal_hp;seats;year_start;year_end;price_min_mad;price_max_mad;annual_mileage_km;source_name;source_url;confidence;notes
Dacia;Logan;logan-1;Logan I;2005;2012;1.4 MPI;Ambiance;sedan;gasoline;manual;6;5;2005;2012;32000;62000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Dacia;Logan;logan-1;Logan I;2005;2012;1.5 dCi 70;Laureate;sedan;diesel;manual;6;5;2006;2012;38000;70000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.45;Official Morocco high-volume baseline
Dacia;Logan;logan-2;Logan II;2013;2020;1.2 75;Ambiance;sedan;gasoline;manual;6;5;2013;2020;62000;96000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.48;Official Morocco high-volume baseline
Dacia;Logan;logan-2;Logan II;2013;2020;1.5 dCi 75;Laureate;sedan;diesel;manual;6;5;2013;2020;70000;112000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Dacia;Sandero;sandero-1;Sandero I;2008;2012;1.4 MPI;Ambiance;hatchback;gasoline;manual;6;5;2008;2012;33000;60000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Dacia;Sandero;sandero-1;Sandero I;2008;2012;1.5 dCi 70;Laureate;hatchback;diesel;manual;6;5;2009;2012;42000;72000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.45;Official Morocco high-volume baseline
Dacia;Sandero;sandero-2;Sandero II;2013;2020;1.2 75;Ambiance;hatchback;gasoline;manual;6;5;2013;2020;62000;102000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.48;Official Morocco high-volume baseline
Dacia;Sandero;sandero-2;Sandero II;2013;2020;1.5 dCi 75;Laureate;hatchback;diesel;manual;6;5;2013;2020;72000;118000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Dacia;Sandero Stepway;sandero-stepway-2;Sandero Stepway II;2013;2020;1.5 dCi 90;Stepway;hatchback;diesel;manual;6;5;2014;2020;82000;132000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Dacia;Duster;duster-1;Duster I;2010;2017;1.6 MPI 105 4x2;Ambiance;suv;gasoline;manual;7;5;2010;2017;70000;112000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Dacia;Duster;duster-1;Duster I;2010;2017;1.5 dCi 85 4x2;Ambiance;suv;diesel;manual;6;5;2010;2014;78000;112000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Dacia;Duster;duster-1;Duster I;2010;2017;1.5 dCi 110 4x2;Laureate;suv;diesel;manual;6;5;2011;2017;90000;142000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.52;Official Morocco high-volume baseline
Dacia;Duster;duster-2;Duster II;2018;2024;1.5 dCi 115 4x2;Essential;suv;diesel;manual;6;5;2018;2024;135000;220000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.56;Official Morocco high-volume baseline
Dacia;Duster;duster-2;Duster II;2018;2024;1.5 dCi 115 4x2;Prestige;suv;diesel;manual;6;5;2018;2024;150000;240000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.56;Official Morocco high-volume baseline
Renault;Clio;clio-2;Clio II;2000;2005;1.2 16V;Authentique;hatchback;gasoline;manual;6;5;2000;2005;26000;44000;14000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Official Morocco high-volume baseline
Renault;Clio;clio-2;Clio II;2000;2005;1.5 dCi 65;Expression;hatchback;diesel;manual;6;5;2002;2005;30000;52000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Official Morocco high-volume baseline
Renault;Clio;clio-3;Clio III;2006;2012;1.2 16V;Authentique;hatchback;gasoline;manual;6;5;2006;2012;42000;70000;14000;Carsablanca historical baseline;curated://historical-morocco-official;0.44;Official Morocco high-volume baseline
Renault;Clio;clio-3;Clio III;2006;2012;1.5 dCi 85;Dynamique;hatchback;diesel;manual;6;5;2006;2012;50000;85000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Renault;Clio;clio-4;Clio IV;2013;2019;0.9 TCe 90;Zen;hatchback;gasoline;manual;5;5;2013;2019;70000;115000;14000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Renault;Clio;clio-4;Clio IV;2013;2019;1.5 dCi 85;Intens;hatchback;diesel;manual;6;5;2013;2019;80000;130000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.52;Official Morocco high-volume baseline
Renault;Megane;megane-2;Megane II;2003;2008;1.5 dCi 85;Expression;hatchback;diesel;manual;6;5;2003;2008;36000;68000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Official Morocco high-volume baseline
Renault;Megane;megane-3;Megane III;2009;2015;1.5 dCi 110;Dynamique;hatchback;diesel;manual;6;5;2009;2015;62000;105000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Renault;Kangoo;kangoo-1;Kangoo I;2000;2008;1.5 dCi;Authentique;van;diesel;manual;6;5;2003;2008;38000;72000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Official Morocco high-volume baseline
Renault;Kangoo;kangoo-2;Kangoo II;2009;2021;1.5 dCi;Expression;van;diesel;manual;6;5;2009;2021;72000;155000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Renault;Captur;captur-1;Captur I;2014;2019;1.5 dCi 90;Intens;suv;diesel;manual;6;5;2014;2019;105000;165000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.48;Official Morocco high-volume baseline
Peugeot;206;206;206;2000;2008;1.4 HDi 70;X-Line;hatchback;diesel;manual;6;5;2002;2008;30000;56000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Official Morocco high-volume baseline
Peugeot;207;207;207;2006;2012;1.4 HDi 70;Active;hatchback;diesel;manual;6;5;2007;2012;42000;72000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Peugeot;208;208-1;208 I;2013;2019;1.6 HDi 92;Active;hatchback;diesel;manual;6;5;2013;2019;76000;128000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Peugeot;308;308-1;308 I;2008;2013;1.6 HDi 92;Premium;hatchback;diesel;manual;6;5;2008;2013;60000;95000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.44;Official Morocco high-volume baseline
Peugeot;308;308-2;308 II;2014;2021;1.6 BlueHDi 100;Active;hatchback;diesel;manual;6;5;2014;2021;95000;165000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Peugeot;2008;2008-1;2008 I;2014;2019;1.6 BlueHDi 100;Active;suv;diesel;manual;6;5;2014;2019;105000;165000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.48;Official Morocco high-volume baseline
Peugeot;3008;3008-1;3008 I;2009;2016;1.6 HDi 112;Active;suv;diesel;manual;6;5;2010;2016;95000;160000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Peugeot;3008;3008-2;3008 II;2017;2024;1.6 BlueHDi 120;Allure;suv;diesel;automatic;6;5;2017;2024;175000;315000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.54;Official Morocco high-volume baseline
Peugeot;Partner;partner-2;Partner II;2008;2018;1.6 HDi 92;Outdoor;van;diesel;manual;6;5;2009;2018;65000;135000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Volkswagen;Polo;polo-4;Polo IV;2002;2009;1.4 TDI;Trendline;hatchback;diesel;manual;6;5;2002;2009;38000;70000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Official Morocco high-volume baseline
Volkswagen;Polo;polo-5;Polo V;2010;2017;1.6 TDI 90;Trendline;hatchback;diesel;manual;6;5;2010;2017;70000;125000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Volkswagen;Golf;golf-5;Golf V;2004;2008;1.9 TDI 105;Trendline;hatchback;diesel;manual;7;5;2004;2008;55000;85000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Volkswagen;Golf;golf-6;Golf VI;2009;2012;1.6 TDI 105;Trendline;hatchback;diesel;manual;6;5;2009;2012;85000;125000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Volkswagen;Golf;golf-7;Golf VII;2013;2019;1.6 TDI 105;Trendline;hatchback;diesel;manual;6;5;2013;2019;120000;210000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Volkswagen;Tiguan;tiguan-1;Tiguan I;2008;2016;2.0 TDI 140;Sport;suv;diesel;automatic;8;5;2008;2016;95000;180000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Hyundai;i10;i10-1;i10 I;2008;2013;1.1 MPI;Pack;hatchback;gasoline;manual;5;5;2008;2013;35000;65000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Hyundai;i10;i10-2;i10 II;2014;2019;1.2 MPI;Pack;hatchback;gasoline;manual;5;5;2014;2019;65000;105000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.48;Official Morocco high-volume baseline
Hyundai;Accent;accent-4;Accent IV;2006;2011;1.5 CRDi;GL;sedan;diesel;manual;6;5;2006;2011;46000;78000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Hyundai;Tucson;tucson-1;Tucson I;2004;2009;2.0 CRDi;Pack;suv;diesel;manual;8;5;2004;2009;62000;105000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Hyundai;ix35;ix35;ix35;2010;2015;1.7 CRDi;Pack;suv;diesel;manual;7;5;2010;2015;95000;165000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.48;Official Morocco high-volume baseline
Hyundai;Tucson;tucson-3;Tucson III;2016;2020;1.7 CRDi;Executive;suv;diesel;automatic;7;5;2016;2020;160000;245000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.52;Official Morocco high-volume baseline
Kia;Picanto;picanto-1;Picanto I;2004;2011;1.1 MPI;LX;hatchback;gasoline;manual;5;5;2004;2011;28000;55000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Official Morocco high-volume baseline
Kia;Picanto;picanto-2;Picanto II;2012;2017;1.0 MPI;LX;hatchback;gasoline;manual;5;5;2012;2017;55000;90000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Kia;Rio;rio-3;Rio III;2012;2017;1.4 CRDi;Active;hatchback;diesel;manual;6;5;2012;2017;70000;118000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Kia;Sportage;sportage-2;Sportage II;2005;2010;2.0 CRDi;LX;suv;diesel;manual;8;5;2005;2010;65000;112000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Kia;Sportage;sportage-3;Sportage III;2011;2015;1.7 CRDi;Active;suv;diesel;manual;7;5;2011;2015;115000;180000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Kia;Sportage;sportage-4;Sportage IV;2016;2021;1.7 CRDi;Motion;suv;diesel;manual;7;5;2016;2021;165000;260000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.54;Official Morocco high-volume baseline
Toyota;Yaris;yaris-2;Yaris II;2006;2011;1.4 D-4D;Luna;hatchback;diesel;manual;6;5;2006;2011;50000;82000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Toyota;Yaris;yaris-3;Yaris III;2012;2019;1.4 D-4D;Luna;hatchback;diesel;manual;6;5;2012;2016;76000;120000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Toyota;Corolla;corolla-e120;Corolla E120;2001;2006;2.0 D-4D;Terra;sedan;diesel;manual;7;5;2001;2006;45000;78000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Official Morocco high-volume baseline
Toyota;Corolla;corolla-e150;Corolla E150;2007;2013;1.4 D-4D;Luna;sedan;diesel;manual;6;5;2007;2013;70000;115000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.44;Official Morocco high-volume baseline
Toyota;RAV4;rav4-3;RAV4 III;2006;2012;2.2 D-4D;Sol;suv;diesel;manual;9;5;2006;2012;95000;155000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.44;Official Morocco high-volume baseline
Ford;Fiesta;fiesta-6;Fiesta VI;2008;2017;1.4 TDCi;Trend;hatchback;diesel;manual;6;5;2008;2017;50000;105000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.44;Official Morocco high-volume baseline
Ford;Focus;focus-2;Focus II;2005;2011;1.6 TDCi;Trend;hatchback;diesel;manual;6;5;2005;2011;45000;78000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Official Morocco high-volume baseline
Ford;Kuga;kuga-1;Kuga I;2008;2012;2.0 TDCi;Titanium;suv;diesel;manual;8;5;2008;2012;85000;135000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Ford;Kuga;kuga-2;Kuga II;2013;2019;2.0 TDCi;Titanium;suv;diesel;automatic;8;5;2013;2019;125000;215000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.48;Official Morocco high-volume baseline
Citroen;C3;c3-1;C3 I;2002;2009;1.4 HDi;Pack;hatchback;diesel;manual;6;5;2002;2009;32000;62000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Official Morocco high-volume baseline
Citroen;C3;c3-2;C3 II;2010;2016;1.4 HDi;Seduction;hatchback;diesel;manual;6;5;2010;2016;58000;98000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.44;Official Morocco high-volume baseline
Citroen;Berlingo;berlingo-2;Berlingo II;2008;2018;1.6 HDi;Multispace;van;diesel;manual;6;5;2008;2018;65000;135000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Opel;Corsa;corsa-d;Corsa D;2007;2014;1.3 CDTI;Enjoy;hatchback;diesel;manual;6;5;2007;2014;45000;85000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Opel;Astra;astra-h;Astra H;2004;2010;1.7 CDTI;Enjoy;hatchback;diesel;manual;7;5;2004;2010;42000;76000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Official Morocco high-volume baseline
Seat;Ibiza;ibiza-4;Ibiza IV;2008;2017;1.6 TDI 90;Reference;hatchback;diesel;manual;6;5;2008;2017;58000;118000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Seat;Leon;leon-2;Leon II;2005;2012;1.9 TDI 105;Reference;hatchback;diesel;manual;7;5;2005;2012;55000;100000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Official Morocco high-volume baseline
Nissan;Qashqai;qashqai-1;Qashqai I;2007;2013;1.5 dCi 110;Acenta;suv;diesel;manual;6;5;2007;2013;78000;135000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.44;Official Morocco high-volume baseline
Nissan;Qashqai;qashqai-2;Qashqai II;2014;2021;1.5 dCi 110;Tekna;suv;diesel;manual;6;5;2014;2021;125000;230000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.5;Official Morocco high-volume baseline
Fiat;Punto;punto-2;Punto II;2000;2005;1.3 Multijet;Dynamic;hatchback;diesel;manual;6;5;2003;2005;26000;42000;15000;Carsablanca historical baseline;curated://historical-morocco-official;0.36;Official Morocco high-volume baseline
Fiat;Tipo;tipo-2;Tipo;2016;2021;1.3 Multijet;Easy;sedan;diesel;manual;6;5;2016;2021;90000;150000;16000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Official Morocco high-volume baseline
Dacia;Logan MCV;logan-mcv-1;Logan MCV I;2007;2012;1.5 dCi 70;Laureate;wagon;diesel;manual;6;5;2007;2012;36000;68000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Expanded Morocco used-market baseline
Dacia;Logan MCV;logan-mcv-2;Logan MCV II;2013;2020;1.5 dCi 75;Laureate;wagon;diesel;manual;6;5;2013;2020;66000;118000;18000;Carsablanca historical baseline;curated://historical-morocco-official;0.44;Expanded Morocco used-market baseline
Dacia;Dokker;dokker-1;Dokker;2013;2020;1.5 dCi 75;Ambiance;van;diesel;manual;6;5;2013;2020;70000;130000;19000;Carsablanca historical baseline;curated://historical-morocco-official;0.46;Expanded Morocco used-market baseline
Dacia;Lodgy;lodgy-1;Lodgy;2012;2021;1.5 dCi 85;Laureate;van;diesel;manual;6;7;2012;2021;75000;145000;19000;Carsablanca historical baseline;curated://historical-morocco-official;0.44;Expanded Morocco used-market baseline
Renault;Twingo;twingo-1;Twingo I;2000;2007;1.2 16V;Expression;hatchback;gasoline;manual;6;4;2000;2007;18000;43000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Renault;Twingo;twingo-2;Twingo II;2008;2014;1.2 16V;Expression;hatchback;gasoline;manual;6;4;2008;2014;33000;68000;12000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Renault;Symbol;symbol-1;Symbol I;2002;2008;1.5 dCi 65;Expression;sedan;diesel;manual;6;5;2002;2008;26000;52000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Renault;Symbol;symbol-2;Symbol II;2009;2012;1.5 dCi 85;Expression;sedan;diesel;manual;6;5;2009;2012;50000;76000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Expanded Morocco used-market baseline
Renault;Scenic;scenic-2;Scenic II;2003;2009;1.5 dCi 105;Dynamique;van;diesel;manual;6;5;2003;2009;35000;70000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.4;Expanded Morocco used-market baseline
Renault;Scenic;scenic-3;Scenic III;2009;2016;1.5 dCi 110;Dynamique;van;diesel;manual;6;5;2009;2016;68000;125000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Expanded Morocco used-market baseline
Renault;Laguna;laguna-2;Laguna II;2001;2007;1.9 dCi;Expression;sedan;diesel;manual;8;5;2001;2007;28000;62000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.34;Expanded Morocco used-market baseline
Renault;Laguna;laguna-3;Laguna III;2008;2015;1.5 dCi 110;Dynamique;sedan;diesel;manual;6;5;2008;2015;55000;110000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.38;Expanded Morocco used-market baseline
Renault;Fluence;fluence-1;Fluence;2010;2016;1.5 dCi 85;Expression;sedan;diesel;manual;6;5;2010;2016;65000;115000;17000;Carsablanca historical baseline;curated://historical-morocco-official;0.42;Expanded Morocco used-market baseline
