name;type;url;contribution;status;ok;final_url;title;description;signals;machine_extractable_hint;error;checked_at
Moteur.ma - new cars;aggregator_new;https://www.moteur.ma/fr/neuf/voiture/;brands_models_versions_prices_promos;200;true;https://www.moteur.ma/fr/neuf/voiture/;"Voitures Neuves Maroc: Prix, Fiches Techniques";"⭐ Toutes les marques de voitures neuves au Maroc. Prix officiels, promotions en cours et fiches techniques détaillées. Trouvez votre futur véhicule sur Moteur.ma.";prix|modeles|versions|vehicles|occasion|new;yes;;2026-06-12T14:32:18.593Z
Wandaloo - new cars;aggregator_new;https://www.wandaloo.com/neuf/;brands_models_versions_prices_fees_specs;200;true;https://www.wandaloo.com/neuf/;Voiture neuve au Maroc : le Guide d'achat complet - wandaloo.com;"Toutes les infos pour acheter une voiture neuve au Maroc : prix de vente et promo de voiture neuve au Maroc. Fiches techniques des voitures neuves au Maroc, Essai et Test Drive ainsi que les coordonnées des importateurs et concessions automobile neuve au Maroc.";prix|modeles|versions|vehicles|occasion|new;yes;;2026-06-12T14:32:18.888Z
Le Guide Auto;aggregator_new_news;https://www.leguideauto.ma/;promos_models_versions_prices;;false;;;;;unknown;This operation was aborted;2026-06-12T14:32:30.892Z
Kifal Auto Neuf;dealer_marketplace_new;https://neuf.kifal.ma/;available_new_stock_offers;200;true;https://neuf.kifal.ma/;Voitures neuves en vente au Maroc - Kifal Auto Neuf;"Découvrez Découvrez toutes les voitures neuves en cours de commercialisation au Maroc avec Kifal Auto. Comparez les prix de vente, les caractéristiques techniques, les promotions et plus encore.";prix|modeles|vehicles|occasion|new;yes;;2026-06-12T14:32:31.434Z
SiaraCash new cars;aggregator_new;https://siaracash.ma/voiture-neuve;brands_models_specs_prices;200;true;https://siaracash.ma/voiture-neuve;Voitures Neuves au Maroc | Prix et Fiches Techniques 2026 | Siaracash;"Découvrez toutes les voitures neuves disponibles au Maroc en 2026. Comparez les prix, fiches techniques et équipements de 59+ marques. Demandez un devis gratuit sur Siaracash.";prix|modeles|versions|vehicles|occasion|new;yes;;2026-06-12T14:32:31.722Z
AutoNews Maroc;news_prices;https://autonews.ma/;launches_promos_prices;200;true;https://autonews.ma/;Guide d’achat et actualités des voitures neuves au Maroc - Autonews.ma | Autonews;"Le site de référence pour l’actualité automobile au Maroc. Retrouvez des comparatifs, des conseils pratiques pour l’achat de voitures neuves, ainsi que les promotions en cours et des fiches techniques détaillées sur les différents modèles et marques disponibles";prix|modeles|versions|vehicles|occasion|new;yes;;2026-06-12T14:32:32.149Z
Auto Hall;official_multi_brand_dealer;https://www.autohall.ma/fr;official_stock_multi_brand;200;true;https://www.autohall.ma/fr;Auto Hall | Référence Automobile au Maroc depuis 100 Ans;"Auto Hall, référence automobile au Maroc avec 100 ans d&#039;expertise, propose véhicules neufs, d&#039;occasion et services sur mesure.";prix|modeles|versions|vehicles|occasion|new;yes;;2026-06-12T14:32:33.282Z
Renault Maroc;official_importer;https://www.renault.co.ma/;official_models_prices_versions;;false;;;;;unknown;fetch failed;2026-06-12T14:32:33.728Z
Dacia Maroc;official_importer;https://www.dacia.ma/;official_models_prices_versions;200;true;https://www.dacia.ma/;"Dacia Maroc : gamme, prix des modèles, achat de voitures neuves";"Découvrez toute la gamme Dacia : Duster, Lodgy, Dokker, Logan, Sandero. Tous les prix et caractéristiques de nos modèles. En savoir plus sur nos offres de financement, nos forfaits d";prix|modeles|versions|vehicles|occasion|new;yes;;2026-06-12T14:32:34.240Z
Peugeot Maroc;official_importer;https://www.peugeot.ma/;official_models_prices_versions;200;true;https://www.peugeot.ma/;Achat de voitures neuves | Peugeot Maroc;"Bienvenue sur le site officiel de Peugeot Maroc. Découvrez la gamme, demandez un essai, configurez votre future voiture.";modeles|versions|vehicles|occasion|new;unknown;;2026-06-12T14:32:34.807Z
