source;brand;brand_slug;model;public_price_mad;source_url
siaracash.ma;Abarth;abarth;ABARTH 595;324.500;https://siaracash.ma/voiture-neuve/abarth/abarth-595
siaracash.ma;Abarth;abarth;ABARTH 695;352.000;https://siaracash.ma/voiture-neuve/abarth/abarth-695
siaracash.ma;Alfa Romeo;alfa-romeo;ALFA ROMEO Giulia;465.000;https://siaracash.ma/voiture-neuve/alfa-romeo/alfa-romeo-giulia
siaracash.ma;Alfa Romeo;alfa-romeo;ALFA ROMEO Junior;285.490;https://siaracash.ma/voiture-neuve/alfa-romeo/alfa-romeo-junior
siaracash.ma;Alfa Romeo;alfa-romeo;ALFA ROMEO Junior EV;430.000;https://siaracash.ma/voiture-neuve/alfa-romeo/alfa-romeo-junior-ev
siaracash.ma;Alfa Romeo;alfa-romeo;ALFA ROMEO Stelvio;439.000;https://siaracash.ma/voiture-neuve/alfa-romeo/alfa-romeo-stelvio
siaracash.ma;Alfa Romeo;alfa-romeo;ALFA ROMEO Tonale;370.000;https://siaracash.ma/voiture-neuve/alfa-romeo/alfa-romeo-tonale
siaracash.ma;Audi;audi;AUDI A1 Sportback;299.000;https://siaracash.ma/voiture-neuve/audi/audi-a1-sportback
siaracash.ma;Audi;audi;AUDI A3 Berline;380.000;https://siaracash.ma/voiture-neuve/audi/audi-a3-berline
siaracash.ma;Audi;audi;AUDI A3 Sportback;327.000;https://siaracash.ma/voiture-neuve/audi/audi-a3-sportback
siaracash.ma;Audi;audi;AUDI A5;600.000;https://siaracash.ma/voiture-neuve/audi/audi-a5
siaracash.ma;Audi;audi;AUDI A5 Coupé;517.000;https://siaracash.ma/voiture-neuve/audi/audi-a5-coupe
siaracash.ma;Audi;audi;AUDI A5 SportBack;522.000;https://siaracash.ma/voiture-neuve/audi/audi-a5-sportback
siaracash.ma;Audi;audi;AUDI A6;555.000;https://siaracash.ma/voiture-neuve/audi/audi-a6
siaracash.ma;Audi;audi;AUDI A6 PHEV;800.000;https://siaracash.ma/voiture-neuve/audi/audi-a6-phev
